lon;lat
-53.5;-33.7
-53.4;-33.7
-53.6;-33.6
-53.5;-33.6
-53.6;-33.5
-53.5;-33.5
-53.6;-33.4
-53.6;-33.3
-53.7;-33.2
-53.6;-33.2
-53.6;-33.1
-53.6;-33
-53.5;-33
-53.5;-32.9
-53.4;-32.9
-53.3;-32.9
-53.4;-32.8
-53.3;-32.8
-53.4;-32.7
-53.3;-32.7
-53.2;-32.7
-53.4;-32.6
-53.3;-32.6
-53.2;-32.6
-53.4;-32.5
-53.3;-32.5
-53.2;-32.5
-53.1;-32.5
-53.3;-32.4
-53.2;-32.4
-53.1;-32.4
-53.2;-32.3
-53.1;-32.3
-53.1;-32.2
-53;-32.2
-52.9;-32.2
-53.1;-32.1
-53;-32.1
-52.9;-32.1
-52.8;-32.1
-52.7;-32.1
-52.8;-32
-52.7;-32
-52.8;-31.9
-52.7;-31.9
-52.5;-31.9
-52.4;-31.9
-52.7;-31.8
-52.6;-31.8
-52.5;-31.8
-52.4;-31.8
-52.6;-31.7
-52.5;-31.7
-52.4;-31.7
-52.3;-31.7
-52.3;-31.6
-52.2;-31.6
-52.1;-31.6
-52.2;-31.5
-52.1;-31.5
-52;-31.5
-52.1;-31.4
-52;-31.4
-52.1;-31.3
-52;-31.3
-51.9;-31.3
-52;-31.2
-51.9;-31.2
-52;-31.1
-51.9;-31.1
-51.8;-31.1
-166;
-51.9;-31
-51.8;-31
-52;-30.9
-51.9;-30.9
-51.8;-30.9
-51.7;-30.9
-51.7;-30.8
-51.6;-30.8
-51.7;-30.7
-51.6;-30.7
-51.5;-30.7
-51.6;-30.6
-51.5;-30.6
-51.4;-30.6
-51.5;-30.5
-51.4;-30.5
-51.3;-30.5
-51.4;-30.4
-51.3;-30.4
-51.2;-30.4
-51.1;-30.4
-51;-30.4
-51.4;-30.3
-51.3;-30.3
-51.1;-30.3
-51;-30.3
-50.9;-30.3
-51.4;-30.2
-51.3;-30.2
-51.2;-30.2
-51.1;-30.2
-51;-30.2
-50.9;-30.2
-50.8;-30.2
-51.5;-30.1
-51.4;-30.1
-51.3;-30.1
-51.2;-30.1
-51;-30.1
-50.9;-30.1
-50.8;-30.1
-50.7;-30.1
-50.6;-30.1
-51.6;-30
-51.5;-30
-51.4;-30
-51.3;-30
-51.2;-30
-50.9;-30
-50.8;-30
-50.7;-30
-50.6;-30
-50.5;-30
-51.6;-29.9
-51.5;-29.9
-50.8;-29.9
-50.7;-29.9
-50.6;-29.9
-50.5;-29.9
-50.4;-29.9
-50.3;-29.9
-50.2;-29.9
-50.7;-29.8
-50.6;-29.8
-50.5;-29.8
-50.3;-29.8
-50.2;-29.8
-50.2;-29.7
-50.1;-29.7
-50.1;-29.6
-50.1;-29.5
-50;-29.5
-49.9;-29.5
-49.9;-29.4
-49.8;-29.4
-49.9;-29.3
-49.8;-29.3
-49.9;-29.2
-49.8;-29.2
-49.8;-29.1
-49.7;-29.1
-49.6;-29.1
-49.6;-29
-49.5;-29
-49.5;-28.9
-49.4;-28.9
-49.3;-28.9
-49.5;-28.8
-49.3;-28.8
-49.2;-28.8
-49.2;-28.7
-49.1;-28.7
-49;-28.7
-49;-28.6
-48.9;-28.6
-49;-28.5
-48.9;-28.5
-48.9;-28.4
-48.8;-28.4
-48.9;-28.3
-48.8;-28.3
-48.7;-28.3
-48.8;-28.2
-48.7;-28.2
-48.7;-28.1
-48.7;-28
-48.6;-28
-48.7;-27.9
-48.6;-27.9
-48.7;-27.8
-48.6;-27.8
-48.7;-27.7
-48.6;-27.7
-48.7;-27.6
-48.6;-27.6
-48.6;-27.5
-48.6;-27.4
-48.5;-27.4
-48.7;-27.3
-48.6;-27.3
-48.5;-27.3
-48.7;-27.2
-48.6;-27.2
-48.6;-27.1
-48.7;-27
-48.6;-27
-48.7;-26.9
-48.6;-26.9
-48.7;-26.8
-48.6;-26.8
-48.7;-26.7
-48.7;-26.6
-48.7;-26.5
-48.6;-26.5
-48.8;-26.4
-48.7;-26.4
-48.6;-26.4
-48.9;-26.3
-48.8;-26.3
-48.7;-26.3
-48.8;-26.2
-48.7;-26.2
-48.6;-26.2
-48.8;-26.1
-48.7;-26.1
-48.6;-26.1
-48.8;-26
-48.7;-26
-48.8;-25.9
-48.7;-25.9
-48.6;-25.9
-48.5;-25.9
-48.7;-25.8
-48.6;-25.8
-48.5;-25.8
-48.6;-25.7
-48.6;-25.6
-48.8;-25.5
-48.7;-25.5
-48.6;-25.5
-48.8;-25.4
-48.7;-25.4
-48.6;-25.4
-48.5;-25.4
-48.8;-25.3
-48.7;-25.3
-48.5;-25.3
-48.4;-25.3
-48.3;-25.3
-48.2;-25.3
-48.1;-25.3
-48.5;-25.2
-48.4;-25.2
-48.3;-25.2
-48.1;-25.2
-48;-25.2
-48.1;-25.1
-48;-25.1
-48.1;-25
-146;
-48;-24.9
-47.9;-24.9
-47.8;-24.9
-47.8;-24.8
-47.7;-24.8
-47.8;-24.7
-47.7;-24.7
-47.8;-24.6
-47.7;-24.6
-47.6;-24.6
-47.5;-24.6
-47.8;-24.5
-47.7;-24.5
-47.6;-24.5
-47.5;-24.5
-47.4;-24.5
-47.5;-24.4
-47.4;-24.4
-47.3;-24.4
-47.2;-24.4
-47.1;-24.4
-47;-24.4
-47.1;-24.3
-47;-24.3
-47;-24.2
-46.9;-24.2
-46.9;-24.1
-46.8;-24.1
-46.7;-24.1
-46.6;-24.1
-46.6;-24
-46.5;-24
-46.5;-23.9
-46.4;-23.9
-46.3;-23.9
-46.2;-23.9
-46.2;-23.8
-46.1;-23.8
-46;-23.8
-45.9;-23.8
-45.8;-23.8
-45.7;-23.8
-45.6;-23.8
-45.5;-23.8
-45.4;-23.8
-45.9;-23.7
-45.8;-23.7
-45.7;-23.7
-45.4;-23.7
-45.4;-23.6
-45.3;-23.6
-45.2;-23.6
-45.2;-23.5
-45.1;-23.5
-45;-23.5
-45.1;-23.4
-45;-23.4
-44.9;-23.4
-44.8;-23.4
-44.7;-23.4
-44.6;-23.4
-44.9;-23.3
-44.7;-23.3
-44.6;-23.3
-44.5;-23.3
-44.8;-23.2
-44.7;-23.2
-44.6;-23.2
-44.7;-23.1
-44.6;-23.1
-44.3;-23.1
-44.2;-23.1
-43.6;-23.1
-43.5;-23.1
-44.7;-23
-44.6;-23
-44.5;-23
-44.4;-23
-44.3;-23
-44.2;-23
-44.1;-23
-134;
-43.7;-23
-43.6;-23
-43.5;-23
-43.4;-23
-43.3;-23
-43.2;-23
-43.1;-23
-132;
-42.9;-23
-42.8;-23
-42.7;-23
-44.6;-22.9
-44.5;-22.9
-44.4;-22.9
-44.3;-22.9
-44.1;-22.9
-44;-22.9
-43.9;-22.9
-43.8;-22.9
-43.7;-22.9
-43.6;-22.9
-43.3;-22.9
-43.2;-22.9
-43.1;-22.9
-43;-22.9
-42.9;-22.9
-42.8;-22.9
-42.7;-22.9
-42.6;-22.9
-42.5;-22.9
-42.4;-22.9
-42.3;-22.9
-42.2;-22.9
-42.1;-22.9
-42;-22.9
-43.8;-22.8
-43.7;-22.8
-43.6;-22.8
-43.4;-22.8
-43.3;-22.8
-43.2;-22.8
-43.1;-22.8
-43;-22.8
-42.9;-22.8
-42.2;-22.8
-42.1;-22.8
-42;-22.8
-41.9;-22.8
-43.4;-22.7
-43.3;-22.7
-43.2;-22.7
-43.1;-22.7
-43;-22.7
-42.9;-22.7
-42.8;-22.7
-42.1;-22.7
-42;-22.7
-43.3;-22.6
-43.2;-22.6
-43.1;-22.6
-43;-22.6
-42.9;-22.6
-42.8;-22.6
-42.1;-22.6
-42;-22.6
-42;-22.5
-41.9;-22.5
-41.9;-22.4
-41.8;-22.4
-41.9;-22.3
-41.8;-22.3
-41.7;-22.3
-41.7;-22.2
-41.6;-22.2
-41.5;-22.2
-41.6;-22.1
-41.5;-22.1
-41.4;-22.1
-41.6;-22
-41.5;-22
-41.4;-22
-41.5;-21.9
-41.4;-21.9
-41.5;-21.8
-41.4;-21.8
-41.3;-21.8
-41.4;-21.7
-41.3;-21.7
-41.2;-21.7
-41.2;-21.6
-41.2;-21.5
-41.1;-21.5
-41;-21.5
-41.1;-21.4
-41;-21.4
-41.2;-21.3
-41.1;-21.3
-41;-21.3
-41.2;-21.2
-41.1;-21.2
-41;-21.2
-40.9;-21.2
-41;-21.1
-40.9;-21.1
-40.8;-21.1
-124;
-40.9;-21
-40.8;-21
-41;-20.9
-40.9;-20.9
-40.8;-20.9
-40.8;-20.8
-40.7;-20.8
-40.6;-20.8
-40.7;-20.7
-40.6;-20.7
-40.5;-20.7
-40.5;-20.6
-40.4;-20.6
-40.4;-20.5
-40.3;-20.5
-40.4;-20.4
-40.3;-20.4
-40.4;-20.3
-40.3;-20.3
