n,CAPITANIA,DONATARIO,LIMITE,Lon,Lat
1 A,Maranhao 1,Aires da Cunha,Rio Turiacu,45.25,1.64
2A,Maranhao 2,Joao de Barros,Ponto intermediario,44.36,2.33
3,Piaui,Fernando Alvares de Andrade,Ilha de Santana (oeste),43.75,2.36
4,Ceara,Antonio Cardoso de Barros,Camocim,40.85,2.87
1 B,Rio Grande do Norte 1,Aires da Cunha,Mucuripe,38.46,3.72
2B,Rio Grande do Norte 2,Joao de Barros,Ponto intermediario,36.66,5.08
12A,Itamaraca,Pero Lopes de Sousa,Baia da Traicao,34.93,6.68
5,Pernanbuco,Duarte Coelho [Pereira],Sul da I. de Itamaraca,34.85,7.81
6,Bahia,Francisco Pereira Coutinho,Rio de Sao Francisco,36.4,10.5
7,Ilheus,Jorge de Figueiredo Correia,Sul da Baia de TS,38.81,13.14
8,Porto Seguro,Pedro do Campo Tourinho,Rio Pardo,38.95,15.65
9,Espirito Santo,Vasco Fernandes Coutinho,Rio Mucuri,39.56,18.09
10,Sao Tome,Pero de Gois [da Silveira],Rio Itapemirim,40.81,21
11A,Sao Vicente 1,Martim Afonso de Sousa,Rio Macae,41.78,22.38
12B,Santo Amaro,Pero Lopes de Sousa,Rio Juquiriquere,45.43,23.71
11B,Sao Vicente 2,Martim Afonso de Sousa,Barra da Bertioga,46.13,23.86
12C,Santana,Pero Lopes de Sousa,Barra sul de Paranagua,48.36,25.55
"",Limite sul 28 e 1/3,Limite sul 28 e 1/3,48.70,48.7,28.33
"",Linha de Tordesilhas,Linha de Tordesilhas,48.70,48.7,0
